Series ID,Series ID 1,Product Portfolio,,Demand Scenario,Number of Items,Service Level,"% Difference, Worst vs. Best Sequence","% Difference, Random vs. Best Sequence","% Difference, CV-Based Sequence vs. Best Sequence",
"PP 20, Balanced, 10 Items","PP20, Balanced",20,B,Balanced,10,0.9,7.089552239,5.970149254,0,18
"PP 20, Balanced, 10 Items","PP20, Balanced",20,B,Balanced,10,0.95,7.384615385,6.153846154,0,
"PP 20, Balanced, 10 Items","PP20, Balanced",20,B,Balanced,10,0.97,6.738544474,5.39083558,0,
"PP 20, Balanced, 10 Items","PP20, Balanced",20,B,Balanced,10,0.99,3.549060543,3.549060543,0,
"PP 20, Balanced, 10 Items","PP20, Balanced",20,B,Balanced,10,0.995,2.712477396,2.893309222,0,
"PP 20, Underloaded, 10 Items","PP20, Underloaded",20,U,Underloaded,10,0.9,4.407713499,3.305785124,0,
"PP 20, Underloaded, 10 Items","PP20, Underloaded",20,U,Underloaded,10,0.95,5.104408353,3.944315545,0,
"PP 20, Underloaded, 10 Items","PP20, Underloaded",20,U,Underloaded,10,0.97,5.405405405,3.95010395,0.207900208,
"PP 20, Underloaded, 10 Items","PP20, Underloaded",20,U,Underloaded,10,0.99,4.568527919,3.72250423,0,
"PP 20, Underloaded, 10 Items","PP20, Underloaded",20,U,Underloaded,10,0.995,3.921568627,3.167420814,0.150829563,
"PP 20, Overloaded, 10 Items","PP20, Overloaded",20,O,Overloaded,10,0.9,6.694560669,5.857740586,0,
"PP 20, Overloaded, 10 Items","PP20, Overloaded",20,O,Overloaded,10,0.95,5.762711864,5.084745763,0,
"PP 20, Overloaded, 10 Items","PP20, Overloaded",20,O,Overloaded,10,0.97,4.398826979,4.398826979,0,
"PP 20, Overloaded, 10 Items","PP20, Overloaded",20,O,Overloaded,10,0.99,2.008928571,3.125,0,
"PP 20, Overloaded, 10 Items","PP20, Overloaded",20,O,Overloaded,10,0.995,1.727447217,2.879078695,0,
"PP 20, Balanced, 100 Items","PP20, Balanced",20,B,Balanced,100,0.9,7.480025714,7.09382151,0,
"PP 20, Balanced, 100 Items","PP20, Balanced",20,B,Balanced,100,0.95,9.368114228,7.89443088,0,
"PP 20, Balanced, 100 Items","PP20, Balanced",20,B,Balanced,100,0.97,9.717962595,7.970061697,0,
"PP 20, Balanced, 100 Items","PP20, Balanced",20,B,Balanced,100,0.99,9.591240199,7.454191033,0,
"PP 20, Balanced, 100 Items","PP20, Balanced",20,B,Balanced,100,0.995,9.161316374,6.974067303,0,
"PP 20, Underloaded, 100 Items","PP20, Underloaded",20,U,Underloaded,100,0.9,4.696429729,4.01061008,0,
"PP 20, Underloaded, 100 Items","PP20, Underloaded",20,U,Underloaded,100,0.95,5.603855134,4.502452698,0,
"PP 20, Underloaded, 100 Items","PP20, Underloaded",20,U,Underloaded,100,0.97,5.880677818,4.758956899,0,
"PP 20, Underloaded, 100 Items","PP20, Underloaded",20,U,Underloaded,100,0.99,5.886947912,4.656742126,0,
"PP 20, Underloaded, 100 Items","PP20, Underloaded",20,U,Underloaded,100,0.995,5.776796008,4.518023161,0,
"PP 20, Overloaded, 100 Items","PP20, Overloaded",20,O,Overloaded,100,0.9,7.073755901,9.135920779,0,
"PP 20, Overloaded, 100 Items","PP20, Overloaded",20,O,Overloaded,100,0.95,9.441433288,10.82925573,0,
"PP 20, Overloaded, 100 Items","PP20, Overloaded",20,O,Overloaded,100,0.97,9.669955586,10.85822138,0,
